pos word,label
JJ crowning,anticipation|joy|surprise|trust
VB improvise,anticipation|surprise
NN anomaly,fear|surprise
JJ gullible,sadness|trust
VB lord,disgust|trust
JJ terrific,sadness
VB decay,fear|sadness
VB word,trust
VB excited,anticipation|joy|surprise|trust
VB mate,trust
VB disappear,fear
NN unemployed,fear|sadness
VB brigade,fear
VB volunteer,anticipation|fear|joy|trust
VB restrain,anger|fear
JJ teeming,disgust
JJ nameless,disgust
VB base,trust
NN halter,anger|fear|sadness
NN impotence,anger|fear|sadness
VB present,anticipation|joy|surprise|trust
NN cupping,disgust|fear|sadness
NN masochism,anger|disgust|fear
VB bark,anger
NN hit,anger
NN smith,trust
NN syncope,fear|sadness|surprise
VB barb,anger
VB accord,trust
VB barf,disgust
NN healing,anticipation|joy|trust
NN crescendo,anticipation|joy|surprise|trust
VB chart,trust
NN dogma,trust
VB found,joy|trust
VB quest,anticipation
VB remove,anger|fear|sadness
NN recipient,anticipation
NN jubilee,joy|surprise
JJ contraband,anger|disgust|fear
VB loom,anticipation|fear
NN ordnance,fear
NN scrapie,anger|fear|sadness
NN savage,anger|fear
NN conservation,anticipation|trust
NN childhood,joy
VB scar,anger|disgust|fear|sadness
VB disapproved,anger|sadness
VB cross,anger|fear|sadness
JJ owing,anger|anticipation|disgust|fear|sadness|trust
NN groan,disgust|sadness
JJ dreary,sadness
NN tandem,trust
JJ callous,anger|disgust
NN defense,anger|anticipation|fear
NN hog,disgust
VB long,anticipation
NN spinster,fear|sadness
NN convict,anger|disgust|fear|sadness
NN buddy,anticipation|joy|trust
NN investigation,anticipation
NN birch,anger|disgust|fear
NN mucus,disgust
NN bitterness,anger|disgust|sadness
NN startle,fear|surprise
NN pauper,sadness
NN midwife,anticipation|joy|trust
VB star,anticipation|joy|trust
NN trepidation,anticipation|fear|surprise
VB forearm,anger|anticipation
NN overestimate,surprise
NN constant,trust
VB bang,anger|disgust|fear|sadness|surprise
VB stab,anger|fear|sadness|surprise
VB thundering,anger|fear
NN downfall,fear|sadness
VB falling,sadness
JJ armed,anger|fear
VB limited,anger|sadness
NN liberty,anticipation|joy|surprise|trust
JJ heathen,fear
VB bank,trust
VB crouching,fear
NN feud,anger
NN fete,anticipation|joy|surprise
NN chagrin,disgust|sadness
NN neurotic,disgust|fear
JJ malevolent,anger|disgust|fear|sadness
JJ ghostly,fear
NN kerosene,fear
NN linguist,trust
JJ neglected,anger|disgust|sadness
NN burlesque,surprise
NN privy,trust
JJ ecstatic,anticipation|joy|surprise
JJ unkind,anger|disgust|fear|sadness
NN notification,anticipation
VB bale,fear
JJ commanding,trust
VB react,anger|fear
